"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01752",-3.31674582654149,4.47672727662947,-11.5488894512232,1.57248687727837e-27,3.29394619556205e-26,51.6158239427552
"C7orf31",-2.45968193337742,7.23939642248062,-11.5454523183732,1.62297952589594e-27,3.39634227373501e-26,51.5845264091053
"CCNYL1",-1.89247521957362,9.56079680090806,-11.5433619953158,1.65447231919995e-27,3.45881457891018e-26,51.565495173161
"SHOX",-2.50155898327024,1.84457412222024,-11.541008575985,1.69065682991801e-27,3.53096189804856e-26,51.5440709804074
"VILL",-2.19254722063501,10.9532202417177,-11.5400771540875,1.7051941655942e-27,3.55780076449496e-26,51.5355925437233
"KAT2B",-2.43153289012896,8.45174588066701,-11.5396215881673,1.71234970366191e-27,3.56920006413481e-26,51.5314458167642
"NEDD4L",-1.8494266565934,11.0276416619065,-11.534770214775,1.79042726002056e-27,3.72825988379799e-26,51.4872927351291
"ASXL3",-3.56193581087016,4.3947345616918,-11.5306860149565,1.85889625098272e-27,3.86701750672875e-26,51.4501301632537
"SALL2",-2.8700854916889,5.58949735275825,-11.5279914483683,1.9054885197229e-27,3.96003692956009e-26,51.4256161931332
"CLCNKB",-2.34975614561073,1.69083633479692,-11.5272294333733,1.91887409255485e-27,3.98393012877481e-26,51.4186843221092
"PLCD3",-2.17871262727139,11.6444655576029,-11.5199328909931,2.05187575996274e-27,4.25587682208988e-26,51.3523228609331
"SLC52A1",-3.0896622564179,4.66672131777274,-11.5193379375656,2.06311653845731e-27,4.27498823793894e-26,51.3469128835216
"AOC3",-3.15591336564113,9.02547105123491,-11.5185403191641,2.07828253190672e-27,4.30218760824735e-26,51.3396603056515
"KCNA5",-2.50629580519413,3.53950110760677,-11.5170711231102,2.10650878629817e-27,4.35634277825231e-26,51.3263019756483
"RAB3C",-3.45269962003652,3.76471647028638,-11.5164038016292,2.11945500403096e-27,4.37882310039462e-26,51.3202348341833
"DACT3",-2.78209019176787,6.66140879786073,-11.5132543238069,2.18163189493749e-27,4.50287115379759e-26,51.2916032249947
"NBPF1",-2.1381871414271,8.60736169154053,-11.5102848224746,2.24191620187222e-27,4.62136277923216e-26,51.2646119335704
"MACIR",-1.9380244961634,9.78542270721324,-11.5102116445203,2.243422530546e-27,4.62136277923216e-26,51.2639468334235
"MFAP5",-3.90710402047038,6.92174538721836,-11.508979602491,2.26893512685318e-27,4.66935781130155e-26,51.2527494129022
"STAP1",-3.10636827809053,3.45222365515811,-11.5030971072474,2.39478194084011e-27,4.92354096102157e-26,51.1992959320152
"DES",-5.12804517197345,10.2658057306409,-11.4989040136699,2.48870157702014e-27,5.11165248935373e-26,51.1612035320685
"CYSLTR1",-2.62079998132956,5.34736301764566,-11.4838752261341,2.85643678144439e-27,5.86125267196381e-26,51.0247400782237
