#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CILP	MGP	9606.ENSP00000261883	9606.ENSP00000228938	0	0	0	0	0.174	0	0	0.348	0.438
CILP	PCOLCE2	9606.ENSP00000261883	9606.ENSP00000295992	0	0	0	0	0.050	0	0	0.411	0.417
CILP	CRTAC1	9606.ENSP00000261883	9606.ENSP00000359629	0	0	0	0	0.044	0	0	0.465	0.466
CILP	ITGBL1	9606.ENSP00000261883	9606.ENSP00000365351	0	0	0	0	0.153	0.185	0	0.356	0.517
CILP	PRELP	9606.ENSP00000261883	9606.ENSP00000343924	0	0	0	0	0.131	0	0	0.559	0.600
CILP2	COMP	9606.ENSP00000291495	9606.ENSP00000222271	0	0	0	0	0.233	0	0	0.404	0.524
CILP2	PBX4	9606.ENSP00000291495	9606.ENSP00000251203	0	0	0	0	0.067	0	0	0.823	0.827
CLCA1	CPA4	9606.ENSP00000234701	9606.ENSP00000222482	0	0	0	0	0.045	0	0	0.401	0.404
CLCA1	LINGO3	9606.ENSP00000234701	9606.ENSP00000467753	0	0	0	0	0.389	0.099	0	0	0.425
CLCA1	ITLN1	9606.ENSP00000234701	9606.ENSP00000323587	0	0	0	0	0.338	0.045	0	0.374	0.569
CLCA1	SPINK4	9606.ENSP00000234701	9606.ENSP00000369045	0	0	0	0	0.527	0	0	0.431	0.719
CLCA1	CLCA4	9606.ENSP00000234701	9606.ENSP00000359594	0	0	0.059	0.963	0.180	0	0.900	0.063	0.918
CLCA1	ZG16	9606.ENSP00000234701	9606.ENSP00000383563	0	0	0	0	0.778	0	0	0.698	0.930
CLCA4	LINGO3	9606.ENSP00000359594	9606.ENSP00000467753	0	0	0	0	0.389	0.099	0	0	0.425
CLCA4	SLC4A4	9606.ENSP00000359594	9606.ENSP00000393557	0	0	0	0	0.082	0.045	0	0.418	0.445
CLCA4	ZG16	9606.ENSP00000359594	9606.ENSP00000383563	0	0	0	0	0.113	0	0	0.554	0.588
CLDN11	MMP3	9606.ENSP00000064724	9606.ENSP00000299855	0	0	0	0	0.055	0	0	0.456	0.463
CLDN11	PCDH9	9606.ENSP00000064724	9606.ENSP00000367096	0	0	0	0	0.121	0	0	0.418	0.466
CLDN11	CLDN23	9606.ENSP00000064724	9606.ENSP00000428780	0	0	0	0	0.105	0	0.650	0.539	0.843
CNIH2	LRFN1	9606.ENSP00000310003	9606.ENSP00000248668	0	0	0	0	0.076	0.127	0	0.361	0.439
CNIH2	GRIK5	9606.ENSP00000310003	9606.ENSP00000301218	0	0	0	0	0.163	0	0.360	0.202	0.535
CNIH2	VWC2	9606.ENSP00000310003	9606.ENSP00000341819	0	0	0	0	0.064	0	0.540	0.270	0.658
CNIH2	GRIK2	9606.ENSP00000310003	9606.ENSP00000397026	0	0	0	0	0.067	0	0.540	0.378	0.709
CNIH2	DLG4	9606.ENSP00000310003	9606.ENSP00000497806	0	0	0	0	0.176	0.075	0.540	0.638	0.856
COLEC11	COLGALT2	9606.ENSP00000411770	9606.ENSP00000354960	0	0	0	0	0	0.609	0	0.171	0.662
COMP	MGP	9606.ENSP00000222271	9606.ENSP00000228938	0	0	0	0	0.150	0	0	0.343	0.418
COMP	SFRP2	9606.ENSP00000222271	9606.ENSP00000274063	0	0	0	0	0.345	0.045	0	0.159	0.428
COMP	ITGBL1	9606.ENSP00000222271	9606.ENSP00000365351	0	0	0	0	0.314	0.069	0	0.189	0.437
COMP	PABPC1L	9606.ENSP00000222271	9606.ENSP00000255136	0	0	0	0	0	0.057	0	0.429	0.438
COMP	MMP1	9606.ENSP00000222271	9606.ENSP00000322788	0	0	0	0	0.062	0	0	0.457	0.469
COMP	PRELP	9606.ENSP00000222271	9606.ENSP00000343924	0	0	0	0	0.124	0.099	0	0.485	0.558
COMP	MMP3	9606.ENSP00000222271	9606.ENSP00000299855	0	0	0	0	0.075	0	0	0.615	0.629
CORO6	KLHL35	9606.ENSP00000344562	9606.ENSP00000438526	0	0	0	0	0.103	0	0	0.505	0.537
CPA4	DNASE1L3	9606.ENSP00000222482	9606.ENSP00000378053	0	0	0	0	0.097	0	0	0.378	0.414
CPA4	TPSG1	9606.ENSP00000222482	9606.ENSP00000234798	0	0	0	0	0.047	0.126	0	0.459	0.510
CPA4	MS4A2	9606.ENSP00000222482	9606.ENSP00000278888	0	0	0	0	0	0	0	0.578	0.578
CPA4	GATA2	9606.ENSP00000222482	9606.ENSP00000345681	0	0	0	0	0	0	0	0.587	0.587
CRLF1	CTF1	9606.ENSP00000376188	9606.ENSP00000279804	0	0	0	0	0.049	0.184	0	0.350	0.451
CRLF1	TMEM59L	9606.ENSP00000376188	9606.ENSP00000470879	0	0.115	0	0	0.198	0	0	0.266	0.434
CRTAC1	LRFN1	9606.ENSP00000359629	9606.ENSP00000248668	0	0	0	0	0	0	0	0.422	0.422
