,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
3823,DLGAP3,1.116,0.912,1.366,1.116[0.912:1.366],0.286
3824,SMAD4,1.084,0.879,1.336,1.084[0.879:1.336],0.451
3825,CCDC106,1.073,0.903,1.275,1.073[0.903:1.275],0.421
3826,ASB13,1.109,0.862,1.428,1.109[0.862:1.428],0.421
3827,TSPAN18,1.117,0.974,1.282,1.117[0.974:1.282],0.114
3828,VWA5B2,1.084,0.967,1.215,1.084[0.967:1.215],0.166
3829,MAP3K15,1.129,0.954,1.336,1.129[0.954:1.336],0.157
3830,PEX19,1.09,0.859,1.383,1.09[0.859:1.383],0.478
3831,HHAT,1.049,0.878,1.252,1.049[0.878:1.252],0.599
3832,FEM1B,1.096,0.882,1.361,1.096[0.882:1.361],0.407
3833,FGF7,1.029,0.924,1.147,1.029[0.924:1.147],0.6
3834,DHRS4,1.005,0.814,1.24,1.005[0.814:1.24],0.965
3835,PAEP,1.097,0.985,1.221,1.097[0.985:1.221],0.091
3836,C1orf54,1.181,0.951,1.467,1.181[0.951:1.467],0.132
3837,SPOCK2,1.086,0.932,1.267,1.086[0.932:1.267],0.29
3838,ADCYAP1,1.009,0.908,1.121,1.009[0.908:1.121],0.873
3839,ABHD4,1.287,1.04,1.593,1.287[1.04:1.593],0.02
3840,CTSZ,1.171,0.921,1.488,1.171[0.921:1.488],0.198
3841,CREBRF,1.061,0.901,1.25,1.061[0.901:1.25],0.474
3842,TGFBR3,1.078,0.94,1.236,1.078[0.94:1.236],0.285
3843,SMG6,1.114,0.91,1.362,1.114[0.91:1.362],0.296
3844,MILR1,1.135,0.975,1.321,1.135[0.975:1.321],0.103
3845,LINC02978,1.183,0.996,1.405,1.183[0.996:1.405],0.056
3846,CAVIN1,1.162,0.992,1.36,1.162[0.992:1.36],0.062
3847,COL4A3,0.985,0.875,1.108,0.985[0.875:1.108],0.801
3848,CCDC89,1.118,0.962,1.299,1.118[0.962:1.299],0.145
3849,HEXIM1,1.101,0.901,1.344,1.101[0.901:1.344],0.348
3850,RERE,1.083,0.879,1.334,1.083[0.879:1.334],0.453
3851,AKR1B1,1.019,0.863,1.204,1.019[0.863:1.204],0.821
3852,AIF1L,1.177,1.026,1.352,1.177[1.026:1.352],0.02
3853,ITSN1,1.05,0.868,1.271,1.05[0.868:1.271],0.613
3854,FZD4.DT,1.051,0.881,1.254,1.051[0.881:1.254],0.579
3855,FBXL17,0.962,0.792,1.168,0.962[0.792:1.168],0.694
3856,SMAD1,1.01,0.823,1.239,1.01[0.823:1.239],0.926
3857,IGHV1.69,0.959,0.891,1.033,0.959[0.891:1.033],0.269
3858,HHEX,1.049,0.895,1.229,1.049[0.895:1.229],0.557
3859,SEL1L,1.037,0.866,1.242,1.037[0.866:1.242],0.695
3860,MAP1A,1.083,0.946,1.239,1.083[0.946:1.239],0.249
3861,ABL1,1.143,0.917,1.426,1.143[0.917:1.426],0.234
3862,NCF4,0.995,0.846,1.171,0.995[0.846:1.171],0.956
3863,SDSL,1.098,0.891,1.354,1.098[0.891:1.354],0.379
3864,IGLV9.49,0.975,0.901,1.055,0.975[0.901:1.055],0.526
3865,CFAP91,1.051,0.947,1.166,1.051[0.947:1.166],0.353
3866,AKAP13,1.141,0.952,1.367,1.141[0.952:1.367],0.155
3867,HJURP,1.109,0.907,1.356,1.109[0.907:1.356],0.314
3868,CASP4LP,0.914,0.79,1.057,0.914[0.79:1.057],0.225
3869,THSD7A,1.094,0.974,1.23,1.094[0.974:1.23],0.131
3870,FTH1P20,0.999,0.897,1.113,0.999[0.897:1.113],0.988
3871,ENDOU,1.079,0.911,1.278,1.079[0.911:1.278],0.378
3872,ZNF236.DT,1.039,0.822,1.314,1.039[0.822:1.314],0.749
3873,TLR8,0.958,0.863,1.062,0.958[0.863:1.062],0.413
3874,EPHA4,1.018,0.914,1.134,1.018[0.914:1.134],0.746
