,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
5908,SIGLEC9,1.043,0.906,1.201,1.043[0.906:1.201],0.557
5909,SQLE,0.994,0.852,1.159,0.994[0.852:1.159],0.934
5910,LY6D,0.948,0.868,1.035,0.948[0.868:1.035],0.234
5911,LASTR,1.294,1.113,1.504,1.294[1.113:1.504],7.79224e-04
5912,NMNAT2,0.994,0.899,1.1,0.994[0.899:1.1],0.913
5913,LINC01942,1.068,0.919,1.242,1.068[0.919:1.242],0.391
5914,CABP1,1.209,1.05,1.392,1.209[1.05:1.392],0.008
5915,BAIAP3,1.157,1.008,1.328,1.157[1.008:1.328],0.038
5916,SLC28A2.AS1,1.002,0.845,1.187,1.002[0.845:1.187],0.984
5917,FZD7,1.209,1.039,1.407,1.209[1.039:1.407],0.014
5918,PNMA3,1.015,0.88,1.17,1.015[0.88:1.17],0.836
5919,KIDINS220,1.112,0.921,1.342,1.112[0.921:1.342],0.269
5920,LINC00886,0.989,0.887,1.102,0.989[0.887:1.102],0.84
5921,IRAK3,0.977,0.86,1.109,0.977[0.86:1.109],0.716
5922,BASP1,1.054,0.921,1.208,1.054[0.921:1.208],0.444
5923,TRPV2,1.062,0.892,1.263,1.062[0.892:1.263],0.501
5924,EBF3,1.102,0.97,1.25,1.102[0.97:1.25],0.134
5925,CENPI,1,0.835,1.197,1[0.835:1.197],1
5926,MIR99AHG,1.141,1.014,1.284,1.141[1.014:1.284],0.029
5927,GTF2IRD2B,1.093,0.917,1.303,1.093[0.917:1.303],0.322
5928,FRGCA,0.924,0.809,1.055,0.924[0.809:1.055],0.243
5929,MAGOH3P,0.957,0.803,1.141,0.957[0.803:1.141],0.626
5930,SPATA6,0.925,0.79,1.082,0.925[0.79:1.082],0.33
5931,ZCCHC18,1.117,0.941,1.327,1.117[0.941:1.327],0.206
5932,SZT2,1.114,0.926,1.339,1.114[0.926:1.339],0.251
5933,TRIM23,1.056,0.881,1.266,1.056[0.881:1.266],0.557
5934,RRAGD,1.132,0.983,1.305,1.132[0.983:1.305],0.086
5935,DOC2B,0.983,0.878,1.102,0.983[0.878:1.102],0.773
5936,LINC02421,1.135,0.973,1.325,1.135[0.973:1.325],0.108
5937,XRN1,1.023,0.865,1.21,1.023[0.865:1.21],0.788
5938,APOBEC3G,1.05,0.9,1.225,1.05[0.9:1.225],0.539
5939,ADAMTS2,1.025,0.902,1.165,1.025[0.902:1.165],0.704
5940,PARP15,1.094,0.952,1.257,1.094[0.952:1.257],0.203
5941,EML4.AS1,1.012,0.867,1.182,1.012[0.867:1.182],0.876
5942,HRH4,0.923,0.783,1.088,0.923[0.783:1.088],0.337
5943,MYO18A,1.059,0.89,1.261,1.059[0.89:1.261],0.519
5944,ELL3,1.203,0.995,1.454,1.203[0.995:1.454],0.057
5945,CCDC8,1.149,1.01,1.309,1.149[1.01:1.309],0.035
5946,EID2B,1.151,0.966,1.371,1.151[0.966:1.371],0.115
5947,NFAM1,1.091,0.931,1.279,1.091[0.931:1.279],0.281
5948,VWF,1.15,0.99,1.335,1.15[0.99:1.335],0.068
5949,CITED1,0.996,0.884,1.122,0.996[0.884:1.122],0.951
5950,LRRC26,0.971,0.889,1.061,0.971[0.889:1.061],0.515
5951,ATRN,1.143,0.957,1.366,1.143[0.957:1.366],0.14
5952,PCLO,1.053,0.95,1.166,1.053[0.95:1.166],0.326
5953,ICAM2,1.142,0.959,1.36,1.142[0.959:1.36],0.137
5954,CD84,1.007,0.893,1.136,1.007[0.893:1.136],0.905
5955,GDF10,0.988,0.907,1.076,0.988[0.907:1.076],0.775
5956,POU3F2,1.128,0.96,1.324,1.128[0.96:1.324],0.142
5957,KCTD15,1.094,0.931,1.286,1.094[0.931:1.286],0.275
5958,ADAMTS6,1.151,1.002,1.323,1.151[1.002:1.323],0.047
5959,IGHV7.81,0.987,0.857,1.138,0.987[0.857:1.138],0.86
5960,CERNA1,1.17,0.976,1.402,1.17[0.976:1.402],0.09
5961,DDO,1.028,0.917,1.153,1.028[0.917:1.153],0.636
5962,ZFP28,1.033,0.927,1.151,1.033[0.927:1.151],0.562
5963,FAM66C,1.101,0.959,1.264,1.101[0.959:1.264],0.174
5964,FOXS1,1.259,1.051,1.509,1.259[1.051:1.509],0.013
5965,BTG2,1.062,0.888,1.27,1.062[0.888:1.27],0.509
5966,RBM43,1.06,0.901,1.246,1.06[0.901:1.246],0.483
5967,GABRA2,1.001,0.92,1.09,1.001[0.92:1.09],0.98
5968,PNPLA3,1.038,0.948,1.136,1.038[0.948:1.136],0.424
5969,CAV2,1.169,0.988,1.383,1.169[0.988:1.383],0.07
5970,RPS19P7,0.963,0.845,1.098,0.963[0.845:1.098],0.576
5971,MUC5AC,1.017,0.952,1.086,1.017[0.952:1.086],0.618
5972,ST18,1.005,0.9,1.122,1.005[0.9:1.122],0.933
5973,HLA.H,1.069,0.915,1.248,1.069[0.915:1.248],0.401
5974,CRACR2A,1.053,0.908,1.222,1.053[0.908:1.222],0.493
5975,ZNF608,1.065,0.918,1.235,1.065[0.918:1.235],0.406
5976,GAL3ST2,0.919,0.82,1.029,0.919[0.82:1.029],0.142
5977,TP63,1.099,0.978,1.236,1.099[0.978:1.236],0.112
5978,MFAP3,1.022,0.856,1.22,1.022[0.856:1.22],0.813
5979,CELF2,0.987,0.852,1.143,0.987[0.852:1.143],0.861
5980,MEF2B,1.309,1.09,1.572,1.309[1.09:1.572],0.004
5981,LINC03034,1.059,0.903,1.24,1.059[0.903:1.24],0.481
5982,ADAM22,1.015,0.876,1.176,1.015[0.876:1.176],0.843
5983,TRAV12.2,0.983,0.852,1.134,0.983[0.852:1.134],0.815
5984,TMEM252,0.965,0.887,1.049,0.965[0.887:1.049],0.405
5985,CAPN11,1.052,0.886,1.249,1.052[0.886:1.249],0.564
5986,RGN,1.068,0.973,1.172,1.068[0.973:1.172],0.168
5987,FTOP1,1.032,0.896,1.189,1.032[0.896:1.189],0.663
5988,GCC2,1.015,0.862,1.194,1.015[0.862:1.194],0.862
5989,C10orf55,0.98,0.827,1.162,0.98[0.827:1.162],0.818
5990,CYP2C9,0.968,0.88,1.064,0.968[0.88:1.064],0.499
5991,FOS,1.007,0.885,1.146,1.007[0.885:1.146],0.917
5992,UTRN,1.047,0.901,1.217,1.047[0.901:1.217],0.55
5993,ASB9,0.996,0.864,1.147,0.996[0.864:1.147],0.951
5994,SLC26A9,1.044,0.968,1.127,1.044[0.968:1.127],0.263
5995,MRPL3P1,0.813,0.682,0.969,0.813[0.682:0.969],0.021
5996,THRSP,1.12,0.986,1.273,1.12[0.986:1.273],0.081
5997,TTC6,1.055,0.941,1.182,1.055[0.941:1.182],0.363
5998,SLFN13,1.034,0.943,1.135,1.034[0.943:1.135],0.476
5999,MYOM2,1.023,0.874,1.197,1.023[0.874:1.197],0.779
6000,FOXA2,1.135,0.95,1.356,1.135[0.95:1.356],0.163
6001,ALDH4A1,0.956,0.819,1.117,0.956[0.819:1.117],0.572
6002,LINC01555,0.949,0.857,1.051,0.949[0.857:1.051],0.318
6003,LDLRAD3,1.121,0.96,1.31,1.121[0.96:1.31],0.148
6004,SNRPA1.DT,1.223,1.017,1.47,1.223[1.017:1.47],0.033
6005,DHRS4L1,1.111,0.934,1.322,1.111[0.934:1.322],0.235
6006,GJA3,1.17,1.046,1.308,1.17[1.046:1.308],0.006
6007,PCDHGB6,1.011,0.9,1.136,1.011[0.9:1.136],0.856
6008,MAP3K20.AS1,1.071,0.976,1.176,1.071[0.976:1.176],0.147
6009,IHO1,1.055,0.899,1.239,1.055[0.899:1.239],0.51
6010,SNORD101,1.085,0.911,1.291,1.085[0.911:1.291],0.36
6011,HS3ST3B1,0.983,0.831,1.163,0.983[0.831:1.163],0.841
6012,PCDHGA6,1.084,0.947,1.24,1.084[0.947:1.24],0.244
6013,IL22RA2,0.914,0.803,1.04,0.914[0.803:1.04],0.171
6014,TPSD1,0.988,0.903,1.08,0.988[0.903:1.08],0.784
6015,RPL8P3,0.971,0.861,1.094,0.971[0.861:1.094],0.629
6016,NPW,1.063,0.934,1.21,1.063[0.934:1.21],0.353
6017,FAM228B,1.11,0.943,1.308,1.11[0.943:1.308],0.209
6018,TRBV12.3,1.158,0.968,1.387,1.158[0.968:1.387],0.109
6019,HDGFL3,1.062,0.944,1.194,1.062[0.944:1.194],0.317
6020,GUCY2C,0.971,0.845,1.116,0.971[0.845:1.116],0.677
6021,PPP1R14C,0.935,0.85,1.028,0.935[0.85:1.028],0.163
6022,ITGB2,1.049,0.919,1.198,1.049[0.919:1.198],0.478
6023,RASGRP3,1.117,0.947,1.318,1.117[0.947:1.318],0.189
6024,ARRDC3.AS1,1.02,0.871,1.195,1.02[0.871:1.195],0.805
6025,KIF14,1.033,0.889,1.199,1.033[0.889:1.199],0.673
6026,GPR155,1.056,0.923,1.207,1.056[0.923:1.207],0.428
6027,LIG4,1.075,0.909,1.27,1.075[0.909:1.27],0.4
6028,IL17C,0.995,0.887,1.116,0.995[0.887:1.116],0.932
6029,RPL21P134,1.063,0.949,1.192,1.063[0.949:1.192],0.292
6030,ASTL,1.181,1.007,1.385,1.181[1.007:1.385],0.041
6031,LINC02175,1.092,0.942,1.265,1.092[0.942:1.265],0.242
6032,GABPA,1.041,0.889,1.218,1.041[0.889:1.218],0.62
6033,FLNB.AS1,1.138,0.971,1.333,1.138[0.971:1.333],0.111
6034,APOL3,1.037,0.897,1.199,1.037[0.897:1.199],0.62
6035,LINC00922,1.144,0.977,1.34,1.144[0.977:1.34],0.095
6036,KCNMB2.AS1,1.069,0.98,1.166,1.069[0.98:1.166],0.134
6037,TLCD3B,1.172,0.987,1.39,1.172[0.987:1.39],0.069
6038,WFDC2,0.942,0.86,1.032,0.942[0.86:1.032],0.201
6039,RELL2,1.076,0.92,1.257,1.076[0.92:1.257],0.359
6040,RNU6.722P,1.073,0.904,1.274,1.073[0.904:1.274],0.422
6041,CCDC186,1.031,0.882,1.204,1.031[0.882:1.204],0.705
6042,CLCA3P,0.951,0.813,1.112,0.951[0.813:1.112],0.525
6043,RASL11A,1.051,0.905,1.22,1.051[0.905:1.22],0.518
6044,H2BC4,1.12,0.984,1.275,1.12[0.984:1.275],0.087
6045,MIOX,1.091,0.977,1.218,1.091[0.977:1.218],0.121
6046,KLHL2P1,1.186,1.008,1.395,1.186[1.008:1.395],0.039
6047,TRAV27,1.137,0.969,1.335,1.137[0.969:1.335],0.117
6048,ZNF461,1.042,0.897,1.211,1.042[0.897:1.211],0.588
6049,HOXA1,1.046,0.899,1.216,1.046[0.899:1.216],0.562
6050,IL18BP,1.137,0.949,1.363,1.137[0.949:1.363],0.165
6051,MARK1,1.049,0.941,1.169,1.049[0.941:1.169],0.389
6052,DYNLRB2,1.084,0.917,1.281,1.084[0.917:1.281],0.343
6053,COSMOC,1.191,1.013,1.4,1.191[1.013:1.4],0.034
6054,ZFP92,1.063,0.932,1.212,1.063[0.932:1.212],0.363
6055,ZNF778.DT,1.097,0.921,1.307,1.097[0.921:1.307],0.3
6056,PPIP5K2,0.982,0.828,1.164,0.982[0.828:1.164],0.833
6057,CCDC121,1.018,0.863,1.201,1.018[0.863:1.201],0.831
6058,ZNF606,1.039,0.927,1.166,1.039[0.927:1.166],0.51
6059,TMEM232,0.977,0.832,1.147,0.977[0.832:1.147],0.773
6060,RIPPLY3,1.006,0.921,1.099,1.006[0.921:1.099],0.898
6061,LINC03008,1.149,1.001,1.32,1.149[1.001:1.32],0.049
6062,RRAD,1.116,0.978,1.275,1.116[0.978:1.275],0.104
6063,TIE1,1.157,0.987,1.357,1.157[0.987:1.357],0.073
6064,JAK2,1.023,0.874,1.197,1.023[0.874:1.197],0.78
6065,ADGRG2,1.039,0.919,1.174,1.039[0.919:1.174],0.542
6066,RUFY1.AS1,1.084,0.912,1.289,1.084[0.912:1.289],0.361
6067,ADGRG3,1.007,0.896,1.132,1.007[0.896:1.132],0.907
6068,COL6A2,1.1,0.949,1.274,1.1[0.949:1.274],0.205
6069,CCDC148,1.045,0.915,1.194,1.045[0.915:1.194],0.513
6070,KCP,1.223,1.046,1.429,1.223[1.046:1.429],0.012
6071,MRO,1.121,0.981,1.281,1.121[0.981:1.281],0.093
6072,EXTL3.AS1,0.979,0.851,1.127,0.979[0.851:1.127],0.77
6073,GK,0.913,0.781,1.067,0.913[0.781:1.067],0.252
6074,COX5BP6,1.036,0.882,1.217,1.036[0.882:1.217],0.663
6075,IL7,0.832,0.717,0.967,0.832[0.717:0.967],0.016
6076,PHOSPHO1,1.04,0.895,1.209,1.04[0.895:1.209],0.611
6077,GTF2IRD2,1.026,0.881,1.196,1.026[0.881:1.196],0.739
6078,HLA.DRB5,1.001,0.893,1.122,1.001[0.893:1.122],0.988
6079,RPL13P12,1.119,0.954,1.312,1.119[0.954:1.312],0.168
6080,MLXP1,1.093,0.991,1.204,1.093[0.991:1.204],0.075
6081,FGD5,1.043,0.899,1.21,1.043[0.899:1.21],0.579
6082,DGUOK.AS1,1.156,0.966,1.384,1.156[0.966:1.384],0.113
6083,IFNL3P1,1.09,0.935,1.27,1.09[0.935:1.27],0.272
6084,SEMA3C,0.991,0.855,1.148,0.991[0.855:1.148],0.902
6085,ERO1B,1.072,0.93,1.236,1.072[0.93:1.236],0.335
6086,SYNJ2BP.COX16,1.079,0.913,1.276,1.079[0.913:1.276],0.372
6087,ARHGAP40,1.05,0.951,1.158,1.05[0.951:1.158],0.333
6088,ZNF546,1.111,0.932,1.323,1.111[0.932:1.323],0.241
6089,C9orf152,1,0.835,1.198,1[0.835:1.198],0.998
6090,TRBV24.1,0.975,0.825,1.152,0.975[0.825:1.152],0.765
6091,VDAC2P5,1.043,0.899,1.21,1.043[0.899:1.21],0.576
6092,HK2P1,1.015,0.868,1.188,1.015[0.868:1.188],0.852
6093,REG1A,1.004,0.954,1.056,1.004[0.954:1.056],0.88
6094,GALC,1.077,0.945,1.227,1.077[0.945:1.227],0.264
6095,MT.CYB,1.121,0.941,1.336,1.121[0.941:1.336],0.202
6096,HFM1,1.081,0.944,1.237,1.081[0.944:1.237],0.26
6097,CRHR2,1.08,0.943,1.236,1.08[0.943:1.236],0.267
6098,EMID1,0.918,0.799,1.055,0.918[0.799:1.055],0.231
6099,ARID4A,1.089,0.913,1.299,1.089[0.913:1.299],0.342
6100,IGSF21,1.095,0.94,1.275,1.095[0.94:1.275],0.243
6101,C1orf220,1.169,1.001,1.366,1.169[1.001:1.366],0.048
6102,NOX5,1.224,1.034,1.449,1.224[1.034:1.449],0.019
6103,TRIP11,1.05,0.88,1.253,1.05[0.88:1.253],0.586
6104,H4C14,1.271,1.077,1.501,1.271[1.077:1.501],0.005
6105,ADAMTSL4.AS1,1.071,0.934,1.228,1.071[0.934:1.228],0.327
6106,HIPK2,1.031,0.878,1.211,1.031[0.878:1.211],0.707
6107,ADGB,0.917,0.821,1.024,0.917[0.821:1.024],0.123
6108,ALPG,1.074,0.999,1.153,1.074[0.999:1.153],0.052
6109,LAMA3,1.023,0.888,1.179,1.023[0.888:1.179],0.749
6110,RPL13P2,0.985,0.88,1.103,0.985[0.88:1.103],0.795
6111,C3orf20,0.937,0.79,1.11,0.937[0.79:1.11],0.45
6112,NAT16,1.15,1.016,1.302,1.15[1.016:1.302],0.027
6113,CTH,1.073,0.903,1.275,1.073[0.903:1.275],0.422
6114,TDGF1,0.91,0.839,0.988,0.91[0.839:0.988],0.024
6115,PRDM8,1.036,0.92,1.167,1.036[0.92:1.167],0.559
6116,OSR2,1.121,0.983,1.279,1.121[0.983:1.279],0.089
6117,PPBP,1.001,0.936,1.072,1.001[0.936:1.072],0.969
6118,TP73,1.057,0.929,1.202,1.057[0.929:1.202],0.401
6119,GAS1,1.092,0.995,1.199,1.092[0.995:1.199],0.065
6120,ZNF763,1.035,0.878,1.219,1.035[0.878:1.219],0.682
6121,SERPINB7,0.963,0.875,1.061,0.963[0.875:1.061],0.447
6122,DIPK1C,1.013,0.914,1.123,1.013[0.914:1.123],0.806
6123,MXRA7P1,1.102,0.929,1.307,1.102[0.929:1.307],0.265
6124,REG3A,0.973,0.924,1.024,0.973[0.924:1.024],0.296
6125,C11orf42,1.172,0.996,1.379,1.172[0.996:1.379],0.056
6126,PRF1,0.997,0.874,1.137,0.997[0.874:1.137],0.961
6127,STYXL2,1.008,0.961,1.058,1.008[0.961:1.058],0.736
6128,RPS19P3,0.948,0.794,1.132,0.948[0.794:1.132],0.554
6129,TRIM31,1.031,0.902,1.18,1.031[0.902:1.18],0.653
6130,DNAH3,1.024,0.858,1.221,1.024[0.858:1.221],0.793
6131,TMSB4XP1,0.894,0.771,1.037,0.894[0.771:1.037],0.14
6132,SPNS2.AS1,1.174,0.992,1.39,1.174[0.992:1.39],0.062
6133,KCNIP2,1.19,1.025,1.382,1.19[1.025:1.382],0.022
6134,LINC00957,1.28,1.073,1.527,1.28[1.073:1.527],0.006
6135,LHX6,1.161,0.994,1.355,1.161[0.994:1.355],0.059
6136,CLNK,0.923,0.8,1.064,0.923[0.8:1.064],0.269
6137,SLC18A1,0.93,0.854,1.013,0.93[0.854:1.013],0.098
6138,MGAT3,1.109,0.983,1.252,1.109[0.983:1.252],0.094
6139,TRBV7.3,1,0.852,1.174,1[0.852:1.174],1
6140,TACC1,1.011,0.864,1.183,1.011[0.864:1.183],0.89
6141,H2AZP3,0.889,0.76,1.04,0.889[0.76:1.04],0.142
6142,IL7R,0.968,0.855,1.096,0.968[0.855:1.096],0.608
6143,LINC01443,0.955,0.869,1.05,0.955[0.869:1.05],0.345
6144,DDIT4L,1.059,0.96,1.169,1.059[0.96:1.169],0.25
6145,ADGRA2,1.108,0.946,1.296,1.108[0.946:1.296],0.203
6146,PRKACB.DT,1.118,0.955,1.309,1.118[0.955:1.309],0.165
6147,ANXA3,0.925,0.788,1.086,0.925[0.788:1.086],0.341
6148,CDK1,1.007,0.851,1.191,1.007[0.851:1.191],0.936
6149,PCAT19,1.095,0.931,1.287,1.095[0.931:1.287],0.272
6150,ST8SIA2,1.121,0.968,1.299,1.121[0.968:1.299],0.127
6151,ARHGEF33,1.038,0.88,1.225,1.038[0.88:1.225],0.657
6152,LMX1B,1.076,0.973,1.191,1.076[0.973:1.191],0.152
6153,SLC6A14,0.978,0.907,1.055,0.978[0.907:1.055],0.566
6154,RAP2C.AS1,1.05,0.902,1.223,1.05[0.902:1.223],0.525
6155,TMEM65,1.04,0.881,1.228,1.04[0.881:1.228],0.641
6156,SAMD11,1.085,0.934,1.259,1.085[0.934:1.259],0.285
6157,PLA2G4A,1.003,0.908,1.107,1.003[0.908:1.107],0.955
6158,SORL1,1.056,0.892,1.251,1.056[0.892:1.251],0.524
6159,ONECUT2,1.081,0.97,1.204,1.081[0.97:1.204],0.161
6160,OSM,1.034,0.925,1.157,1.034[0.925:1.157],0.555
6161,COLCA1,1.066,0.966,1.177,1.066[0.966:1.177],0.204
6162,SCN5A,1.057,0.946,1.181,1.057[0.946:1.181],0.325
6163,TBCEL,1.058,0.903,1.24,1.058[0.903:1.24],0.486
6164,FYN,1.08,0.916,1.273,1.08[0.916:1.273],0.361
6165,DYNLT5,1.082,0.929,1.259,1.082[0.929:1.259],0.311
6166,DUXAP9,1.114,1.008,1.231,1.114[1.008:1.231],0.034
6167,LAYN,1.117,0.951,1.312,1.117[0.951:1.312],0.179
6168,GJC1,1.075,0.92,1.256,1.075[0.92:1.256],0.361
6169,EFNB3,1.118,0.959,1.302,1.118[0.959:1.302],0.154
6170,SLC19A3,0.962,0.876,1.057,0.962[0.876:1.057],0.42
6171,HSP90B3P,0.939,0.81,1.088,0.939[0.81:1.088],0.401
6172,LINC01303,1.029,0.88,1.204,1.029[0.88:1.204],0.716
6173,ARID3A,1.001,0.869,1.154,1.001[0.869:1.154],0.986
6174,PRPF18,1.065,0.893,1.269,1.065[0.893:1.269],0.485
6175,EPN3,1.037,0.884,1.217,1.037[0.884:1.217],0.656
6176,FLRT3,1.001,0.897,1.118,1.001[0.897:1.118],0.981
6177,LINC00665,1.056,0.947,1.178,1.056[0.947:1.178],0.324
6178,SMPX,1.028,0.948,1.114,1.028[0.948:1.114],0.504
6179,VAV3,0.939,0.848,1.039,0.939[0.848:1.039],0.224
6180,CPA6,0.97,0.901,1.046,0.97[0.901:1.046],0.43
6181,GXYLT2,1.022,0.909,1.15,1.022[0.909:1.15],0.712
6182,RASA4,1.172,0.992,1.386,1.172[0.992:1.386],0.062
6183,REV3L,1.052,0.891,1.244,1.052[0.891:1.244],0.549
6184,SLC45A3,0.98,0.828,1.159,0.98[0.828:1.159],0.81
6185,LINC01116,1.122,0.984,1.279,1.122[0.984:1.279],0.087
6186,KRTAP5.1,1.23,1.063,1.424,1.23[1.063:1.424],0.005
6187,CCT6P2,0.99,0.846,1.159,0.99[0.846:1.159],0.903
6188,MN1,1.089,0.955,1.24,1.089[0.955:1.24],0.202
6189,ZNF85,1.02,0.913,1.14,1.02[0.913:1.14],0.727
6190,NSUN5P1,1.155,0.978,1.365,1.155[0.978:1.365],0.09
6191,LINC02912,1.048,0.907,1.21,1.048[0.907:1.21],0.524
6192,LTA,0.979,0.84,1.14,0.979[0.84:1.14],0.785
6193,MTERF1,1.105,0.971,1.257,1.105[0.971:1.257],0.13
6194,GAL3ST1,1.01,0.88,1.16,1.01[0.88:1.16],0.887
6195,FUZ,1.055,0.915,1.217,1.055[0.915:1.217],0.459
6196,SAA2,0.98,0.897,1.071,0.98[0.897:1.071],0.654
6197,WNT6,1.063,0.955,1.183,1.063[0.955:1.183],0.264
6198,SRGAP2C,1.132,0.995,1.288,1.132[0.995:1.288],0.06
6199,ACE,1.196,0.997,1.435,1.196[0.997:1.435],0.054
6200,ZP3,1.117,0.945,1.319,1.117[0.945:1.319],0.193
6201,FUT6,0.98,0.863,1.113,0.98[0.863:1.113],0.754
6202,GLRA2,0.954,0.882,1.031,0.954[0.882:1.031],0.234
6203,DCC,1.062,0.937,1.203,1.062[0.937:1.203],0.345
6204,SLC16A2,1.066,0.932,1.218,1.066[0.932:1.218],0.352
6205,C21orf91,1.021,0.862,1.209,1.021[0.862:1.209],0.813
6206,TRAV26.1,0.96,0.814,1.133,0.96[0.814:1.133],0.631
6207,CD8B,1.01,0.89,1.147,1.01[0.89:1.147],0.877
6208,IER5L.AS1,1.038,0.916,1.175,1.038[0.916:1.175],0.56
6209,KSR2,1.028,0.885,1.195,1.028[0.885:1.195],0.716
6210,GRP,1.129,1.019,1.25,1.129[1.019:1.25],0.02
6211,FGFR3,0.995,0.871,1.137,0.995[0.871:1.137],0.944
6212,HCRT,0.98,0.844,1.138,0.98[0.844:1.138],0.791
6213,OR2A9P,1.1,0.956,1.265,1.1[0.956:1.265],0.182
6214,FGD6,1.047,0.881,1.244,1.047[0.881:1.244],0.603
6215,CD1E,0.962,0.855,1.083,0.962[0.855:1.083],0.523
6216,ZNF610,1.035,0.92,1.165,1.035[0.92:1.165],0.562
6217,ASH1L,1.081,0.911,1.282,1.081[0.911:1.282],0.374
6218,CALHM6,0.991,0.866,1.134,0.991[0.866:1.134],0.9
6219,ZNF704,1.042,0.91,1.194,1.042[0.91:1.194],0.551
6220,GPR141,0.934,0.827,1.056,0.934[0.827:1.056],0.277
6221,ERICH5,0.993,0.904,1.09,0.993[0.904:1.09],0.877
6222,FLT4,1.215,1.029,1.433,1.215[1.029:1.433],0.021
6223,GLYATL1,0.889,0.807,0.979,0.889[0.807:0.979],0.016
6224,LINC01535,1.087,0.95,1.242,1.087[0.95:1.242],0.224
6225,DNALI1,0.964,0.862,1.079,0.964[0.862:1.079],0.526
6226,LINC02986,0.99,0.882,1.112,0.99[0.882:1.112],0.871
6227,PCDHGA3,1.127,0.983,1.292,1.127[0.983:1.292],0.086
6228,MIR4713HG,1.359,1.16,1.593,1.359[1.16:1.593],1.505197e-04
6229,PTPN5,1.06,0.926,1.214,1.06[0.926:1.214],0.399
6230,RARB,1.081,0.932,1.254,1.081[0.932:1.254],0.301
6231,EFNA3,1.067,0.909,1.253,1.067[0.909:1.253],0.428
6232,EMX2OS,1.037,0.937,1.147,1.037[0.937:1.147],0.485
6233,HSD11B1.AS1,1.088,0.945,1.253,1.088[0.945:1.253],0.24
6234,SYT13,0.984,0.884,1.095,0.984[0.884:1.095],0.766
6235,MTBP,1.074,0.914,1.263,1.074[0.914:1.263],0.385
6236,TRAV3,1.031,0.894,1.189,1.031[0.894:1.189],0.676
6237,LCOR,1.035,0.881,1.215,1.035[0.881:1.215],0.677
6238,SLAIN1,1.039,0.933,1.156,1.039[0.933:1.156],0.489
6239,KIF26A,1.059,0.957,1.171,1.059[0.957:1.171],0.266
6240,DCTN1.AS1,0.975,0.834,1.141,0.975[0.834:1.141],0.753
6241,ISLR2,1.129,0.996,1.28,1.129[0.996:1.28],0.057
6242,TNFRSF18,1.031,0.879,1.209,1.031[0.879:1.209],0.708
6243,FABP5P7,1.047,0.923,1.187,1.047[0.923:1.187],0.479
6244,HNRNPUL2.BSCL2,1.121,0.951,1.32,1.121[0.951:1.32],0.173
6245,MYBPHL,0.997,0.905,1.098,0.997[0.905:1.098],0.952
6246,AGT,0.89,0.783,1.011,0.89[0.783:1.011],0.072
6247,ALPL,1.115,0.958,1.298,1.115[0.958:1.298],0.159
6248,SNHG4,1.054,0.893,1.244,1.054[0.893:1.244],0.534
6249,GPR20,1.045,0.898,1.216,1.045[0.898:1.216],0.57
6250,CRYM,0.937,0.821,1.07,0.937[0.821:1.07],0.336
6251,LINC00933,1.07,0.907,1.262,1.07[0.907:1.262],0.422
6252,RPL23AP49,1.042,0.906,1.197,1.042[0.906:1.197],0.564
6253,FOXE3,0.982,0.864,1.116,0.982[0.864:1.116],0.781
6254,MAMLD1,1.019,0.877,1.183,1.019[0.877:1.183],0.81
6255,LINC01480,1.128,0.965,1.318,1.128[0.965:1.318],0.13
6256,SLCO4A1.AS2,1.042,0.891,1.22,1.042[0.891:1.22],0.604
6257,ZNF493,1.038,0.897,1.202,1.038[0.897:1.202],0.615
6258,RPL8P4,1.021,0.883,1.181,1.021[0.883:1.181],0.781
6259,HMGN2P17,1.023,0.937,1.118,1.023[0.937:1.118],0.609
6260,NME8,1.159,0.988,1.358,1.159[0.988:1.358],0.07
6261,POU2AF3,1.081,0.954,1.223,1.081[0.954:1.223],0.221
6262,CEP126,1.05,0.91,1.211,1.05[0.91:1.211],0.504
6263,PLA2G3,0.979,0.914,1.048,0.979[0.914:1.048],0.536
6264,BMPR2,1.098,0.923,1.306,1.098[0.923:1.306],0.292
6265,VSTM1,0.94,0.817,1.082,0.94[0.817:1.082],0.392
6266,SIX4,1.178,1.042,1.332,1.178[1.042:1.332],0.009
6267,GJB3,1.057,0.912,1.225,1.057[0.912:1.225],0.461
6268,GAA,1.152,0.981,1.352,1.152[0.981:1.352],0.083
6269,RPL41P5,0.978,0.894,1.069,0.978[0.894:1.069],0.621
6270,CST7,1.053,0.92,1.204,1.053[0.92:1.204],0.453
6271,MIR573,1.01,0.862,1.185,1.01[0.862:1.185],0.898
6272,BEX5,1.05,0.957,1.152,1.05[0.957:1.152],0.307
6273,PAXBP1.AS1,1.178,0.987,1.406,1.178[0.987:1.406],0.07
6274,IL12RB2,1.076,0.917,1.262,1.076[0.917:1.262],0.371
6275,SPNS2,1.023,0.873,1.199,1.023[0.873:1.199],0.778
6276,SOX30,1.102,0.945,1.285,1.102[0.945:1.285],0.215
6277,TTLL1.AS1,1.012,0.855,1.198,1.012[0.855:1.198],0.886
6278,NRP2,1.126,0.979,1.295,1.126[0.979:1.295],0.096
6279,WDR35.DT,1.063,0.923,1.225,1.063[0.923:1.225],0.396
6280,KRT8P7,1.031,0.895,1.187,1.031[0.895:1.187],0.674
6281,TTLL9,1.028,0.866,1.221,1.028[0.866:1.221],0.753
